Trial,Participant ID,Cursor X,Cursor Y,Target X,Target Y,Target Width,Distance,Time,Hit Target
0,2,0,0,490,400,40,632.5346,3904,1
1,2,486,402,220,400,40,266.0075,667,1
2,2,231,398,400,400,40,169.01184,680,1
3,2,392,407,310,490,40,116.67476,565,1
4,2,327,490,490,400,40,186.19614,703,1
5,2,487,418,310,400,40,177.9129,582,1
6,2,317,399,220,310,40,131.64346,716,1
7,2,214,311,220,490,40,179.10052,699,1
8,2,225,480,310,220,40,273.5416,800,1
9,2,310,238,490,490,40,309.68372,783,1
10,2,492,486,400,490,40,92.086914,601,1
11,2,401,491,310,220,40,285.8706,765,1
12,2,329,255,490,310,40,170.13524,632,1
13,2,486,314,310,400,40,195.88773,632,1
14,2,318,396,490,310,40,192.30185,634,1
15,2,493,316,220,310,40,273.06592,666,1
16,2,196,317,490,490,40,341.12314,768,1
17,2,475,471,310,400,40,179.6274,600,1
18,2,328,411,400,220,40,204.12006,716,1
19,2,405,218,310,220,40,95.02105,665,1
20,2,302,215,220,400,40,202.3586,818,1
21,2,222,394,400,220,40,248.91766,730,1
22,2,408,231,490,310,40,113.86395,751,1
23,2,482,300,400,310,40,82.607506,566,1
24,2,391,307,490,490,40,208.06248,601,1
25,2,489,505,400,220,40,298.57327,548,1
26,2,409,261,400,310,40,49.819675,470,1
27,2,401,321,490,400,40,119.0042,583,1
28,2,493,404,490,400,40,5.0,199,1
29,2,493,404,310,220,40,259.50916,650,1
30,2,324,242,310,310,40,69.426216,534,1
31,2,319,311,220,310,40,99.00505,382,1
32,2,236,307,400,400,40,188.53381,600,1
33,2,393,389,490,220,40,194.85892,548,1
34,2,461,253,220,400,40,282.29416,634,1
35,2,247,391,490,220,40,297.13632,615,1
36,2,466,236,490,400,40,165.7468,550,1
37,2,475,401,220,490,40,270.08517,767,0
37,2,270,454,220,490,40,61.611687,651,1
38,2,232,490,310,310,40,196.17339,520,1
39,2,307,334,310,490,40,156.02884,496,1
40,2,307,503,310,400,40,103.04368,436,1
41,2,310,407,490,490,40,198.21452,580,1
42,2,473,479,490,310,40,169.85287,516,1
43,2,495,346,220,220,40,302.49133,735,1
44,2,219,230,220,490,40,260.00192,633,1
45,2,220,481,220,310,40,171.0,552,1
46,2,218,335,400,220,40,215.28818,480,1
47,2,385,221,220,490,40,315.5725,650,1
48,2,241,469,310,220,40,258.38342,619,1
49,2,294,217,220,490,40,282.85156,765,1
50,2,240,456,490,220,40,343.79645,603,1
51,2,483,237,220,400,40,309.4156,563,1
52,2,226,384,490,400,40,264.4844,502,1
53,2,485,396,490,220,40,176.07101,483,1
54,2,482,220,490,400,40,180.17769,517,1
55,2,483,376,310,400,40,174.6568,499,1
56,2,315,409,490,310,40,201.06218,398,1
57,2,495,323,490,490,40,167.07483,532,1
58,2,506,499,490,490,40,18.35756,1283,1
59,2,495,494,220,220,40,388.20227,883,1
60,2,219,238,310,400,40,185.80904,520,1
61,2,320,376,310,400,40,26.0,215,1
62,2,320,377,220,310,40,120.37026,468,1
63,2,223,322,310,310,40,87.823685,364,1
64,2,308,322,220,400,40,117.592514,384,1
65,2,253,395,490,490,40,255.33116,585,1
66,2,479,473,220,310,40,306.0229,497,1
67,2,232,323,490,220,40,277.8003,548,1
68,2,461,221,400,400,40,189.10843,586,1
69,2,402,392,310,310,40,123.2396,434,1
70,2,312,309,310,220,40,89.02247,331,1
71,2,305,235,400,310,40,121.037186,385,1
72,2,387,292,310,310,40,79.07591,348,1
73,2,320,318,310,490,40,172.29045,468,1
74,2,319,462,310,310,40,152.26622,483,1
75,2,326,298,400,310,40,74.96666,383,1
76,2,422,324,310,400,40,135.3514,398,1
77,2,309,391,220,490,40,133.12401,703,1
78,2,232,475,220,490,40,19.209373,298,1
79,2,230,468,220,220,40,248.20154,766,1
80,2,229,245,220,490,40,245.16525,483,1
81,2,224,464,220,400,40,64.12488,316,1
82,2,219,402,310,310,40,129.40247,399,1
83,2,291,323,310,490,40,168.07736,569,1
84,2,303,487,490,490,40,187.02406,666,1
85,2,482,481,310,220,40,312.578,584,1
86,2,325,257,400,400,40,161.47446,432,1
87,2,415,405,400,400,40,15.811388,538,1
88,2,399,399,490,310,40,127.28708,430,1
89,2,486,323,310,400,40,192.10674,484,1
90,2,350,381,220,310,40,148.12495,418,1
91,2,221,322,400,400,40,195.25624,397,1
92,2,396,397,310,220,40,196.78668,371,0
92,2,318,269,310,220,40,49.648766,545,1
93,2,316,230,490,310,40,191.5098,418,1
94,2,457,308,490,220,40,93.98404,402,1
95,2,482,208,310,400,40,257.7751,480,1
96,2,316,385,220,400,40,97.16481,401,1
97,2,227,398,310,310,40,120.966934,532,1
98,2,303,326,400,310,40,98.31073,485,1
99,2,417,309,490,220,40,115.10864,467,1
100,2,475,242,490,310,40,69.63476,414,1
101,2,475,320,400,490,40,185.80904,549,1
102,2,411,469,490,310,40,177.54436,521,1
103,2,473,345,220,220,40,282.19498,583,1
104,2,244,240,490,400,40,293.4553,581,1
105,2,489,398,220,490,40,284.2974,586,1
106,2,218,492,220,490,40,2.828427,851,1
107,2,221,491,400,490,40,179.00279,531,1
108,2,403,484,220,310,40,252.51732,567,1
109,2,227,324,400,490,40,239.7603,465,1
110,2,396,455,220,310,40,228.03728,381,1
111,2,238,325,490,400,40,262.92395,549,1
112,2,491,421,490,490,40,69.00725,437,1
113,2,490,496,400,400,40,131.59027,414,1
114,2,394,414,400,310,40,104.172935,400,1
115,2,400,303,490,400,40,132.32158,401,1
116,2,472,386,400,490,40,126.491104,448,1
117,2,413,487,490,400,40,116.18089,420,1
118,2,473,416,220,490,40,263.60007,514,1
119,2,247,468,220,490,40,34.828148,517,1
120,2,221,453,220,400,40,53.009434,484,1
121,2,220,404,220,490,40,86.0,516,1
122,2,225,494,400,400,40,198.64793,482,1
123,2,390,425,310,310,40,140.08926,437,1
124,2,313,325,400,490,40,186.5315,497,1
125,2,402,486,400,490,40,4.472136,320,1
126,2,403,487,400,310,40,177.02542,546,1
127,2,400,316,220,310,40,180.09998,469,1
128,2,217,312,490,310,40,273.00732,684,1
129,2,487,320,400,310,40,87.57283,398,1
130,2,403,312,220,220,40,204.82431,549,1
131,2,217,236,400,220,40,183.69812,500,1
132,2,414,197,400,400,40,203.4822,484,1
133,2,378,403,490,310,40,145.57816,402,1
134,2,472,327,490,400,40,75.18643,417,1
135,2,473,406,310,310,40,189.16924,447,1
136,2,311,323,310,220,40,103.00485,453,1
137,2,303,223,490,490,40,325.97238,468,1
138,2,477,449,490,310,40,139.60658,447,1
139,2,482,311,220,400,40,276.70383,933,1
140,2,205,429,220,490,40,62.817196,565,1
141,2,227,496,310,400,40,126.90548,701,1
142,2,308,423,400,490,40,113.81125,486,1
143,2,396,489,310,490,40,86.00581,418,1
144,2,300,493,310,220,40,273.18307,715,1
145,2,313,235,490,310,40,192.23424,634,1
146,2,465,297,310,310,40,155.5442,532,1
147,2,297,302,220,220,40,112.48556,482,1
148,2,209,212,310,220,40,101.31634,435,1
149,2,328,225,220,490,40,286.16254,566,1
150,2,226,486,220,310,40,176.10225,449,1
151,2,215,322,490,220,40,293.307,584,1
152,2,481,220,220,220,40,261.0,620,1
153,2,215,222,400,490,40,325.65164,747,1
154,2,388,496,490,490,40,102.176315,500,1
155,2,484,501,490,310,40,191.09422,547,1
156,2,484,341,490,490,40,149.12076,452,1
157,2,494,493,220,220,40,386.78806,700,1
158,2,218,233,400,220,40,182.4637,548,1
159,2,396,234,220,400,40,241.93387,584,1
160,2,224,401,400,490,40,197.22322,603,1
161,2,400,503,220,220,40,335.3938,481,1
162,2,227,247,310,220,40,87.28116,372,1
163,2,315,235,220,400,40,190.39433,461,1
164,2,212,431,490,490,40,284.19183,618,1
165,2,476,484,400,220,40,274.72168,513,1
166,2,394,242,310,310,40,108.07405,417,1
167,2,325,300,400,400,40,125.0,366,1
168,2,397,400,220,490,40,198.56737,515,1
169,2,248,467,220,220,40,248.58199,417,1
170,2,233,215,220,310,40,95.885345,417,1
171,2,227,316,310,310,40,83.21658,369,1
172,2,311,328,220,400,40,116.03879,414,1
173,2,240,391,400,400,40,160.25293,467,1
174,2,394,405,400,400,40,7.81025,334,1
175,2,386,404,310,490,40,114.76933,416,1
176,2,302,497,400,490,40,98.24968,533,1
177,2,398,496,490,220,40,290.92953,651,1
178,2,501,227,220,490,40,384.87662,581,1
179,2,216,502,400,310,40,265.9323,433,1
180,2,405,294,400,400,40,106.11786,352,1
181,2,409,397,220,220,40,258.94016,449,1
182,2,245,251,490,310,40,252.00397,515,1
183,2,501,305,490,220,40,85.70881,334,1
184,2,483,194,490,490,40,296.08276,517,1
185,2,488,445,400,220,40,241.59677,484,1
186,2,388,225,490,400,40,202.55617,382,0
186,2,474,335,490,400,40,66.94027,485,1
187,2,492,400,400,310,40,128.7012,417,1
188,2,372,309,220,310,40,152.0033,500,1
189,2,257,329,310,490,40,169.49927,631,1
190,2,328,483,400,220,40,272.67746,499,1
191,2,374,241,220,220,40,155.42522,466,1
192,2,218,211,310,220,40,92.43917,483,1
193,2,328,221,220,400,40,209.0574,500,1
194,2,233,380,220,220,40,160.52725,820,1
195,2,202,206,310,400,40,222.03603,781,1
196,2,290,392,400,310,40,137.20058,617,1
197,2,381,331,310,220,40,131.76494,534,1
198,2,314,245,400,220,40,89.560036,533,1
199,2,405,229,220,310,40,201.95544,432,1
200,2,250,283,400,310,40,152.41063,483,1
201,2,429,325,400,220,40,108.93117,383,1
202,2,378,208,220,220,40,158.45505,434,1
203,2,248,227,400,490,40,303.7647,633,1
204,2,410,486,310,220,40,284.176,483,1
205,2,318,220,400,220,40,82.0,366,1
206,2,396,232,220,220,40,176.40862,415,1
207,2,231,226,220,220,40,12.529964,267,1
208,2,235,228,310,490,40,272.5234,733,1
209,2,292,491,220,310,40,194.79477,502,1
210,2,219,309,310,490,40,202.58826,665,1
211,2,308,486,400,220,40,281.46048,668,1
212,2,393,244,310,220,40,86.40023,450,1
213,2,298,211,400,220,40,102.396286,400,1
214,2,402,219,220,220,40,182.00275,482,1
215,2,253,225,220,310,40,91.18114,466,1
216,2,242,312,400,220,40,182.83325,616,1
217,2,418,241,310,490,40,271.41296,517,1
218,2,325,457,400,310,40,165.02727,417,1
219,2,395,330,400,310,40,20.615528,399,1
220,2,395,332,490,220,40,146.86388,483,1
221,2,490,202,310,400,40,267.58923,702,1
222,2,322,390,400,220,40,187.0401,497,1
223,2,405,224,400,490,40,266.047,685,1
224,2,398,458,400,490,40,32.06244,1165,1
225,2,407,495,220,220,40,332.55676,517,1
226,2,230,250,400,490,40,294.10883,601,1
227,2,396,463,400,310,40,153.05228,396,1
228,2,395,329,490,400,40,118.60017,385,1
229,2,482,405,220,310,40,278.6916,419,1
230,2,246,317,310,310,40,64.381676,297,1
231,2,286,321,490,310,40,204.29636,600,1
232,2,467,334,490,490,40,157.6864,649,1
233,2,467,488,310,400,40,179.98056,435,1
234,2,320,414,310,490,40,76.655075,282,1
235,2,318,465,220,490,40,101.13852,518,1
236,2,216,485,490,310,40,325.1169,482,1
237,2,472,337,490,400,40,65.52099,367,1
238,2,486,419,310,400,40,177.0226,433,1
239,2,313,407,220,400,40,93.26307,384,1
240,2,214,416,400,310,40,214.08409,501,1
241,2,366,344,490,220,40,175.36249,632,1
242,2,471,256,490,220,40,40.706264,450,1
243,2,477,229,220,310,40,269.46243,616,1
244,2,257,308,400,400,40,170.03824,467,1
245,2,396,402,400,220,40,182.04395,484,1
246,2,399,210,490,400,40,210.66798,600,1
247,2,490,385,490,220,40,165.0,483,1
248,2,482,214,310,220,40,172.10461,483,1
249,2,312,206,490,220,40,178.54971,718,1
250,2,494,229,490,400,40,171.04678,565,1
251,2,499,398,310,400,40,189.01057,717,1
252,2,313,398,490,220,40,251.02391,498,1
253,2,467,238,400,490,40,260.75467,602,1
254,2,380,484,310,220,40,273.12268,414,1
255,2,316,223,400,400,40,195.9209,366,1
256,2,412,375,490,220,40,173.51945,451,1
257,2,491,226,490,490,40,264.0019,567,1
258,2,482,505,310,400,40,201.51675,467,1
259,2,297,403,490,400,40,193.02332,433,1
260,2,476,421,310,490,40,179.7693,467,1
261,2,305,491,400,310,40,204.41624,500,1
262,2,411,326,310,220,40,146.4138,382,1
263,2,310,219,400,400,40,202.14104,483,1
264,2,401,402,220,310,40,203.0394,399,1
265,2,240,309,220,400,40,93.17188,335,1
266,2,238,419,400,220,40,256.6028,515,1
267,2,420,231,220,220,40,200.30228,351,1
268,2,247,212,490,400,40,307.23444,566,1
269,2,478,397,220,490,40,274.24988,549,1
270,2,222,498,400,490,40,178.17969,486,1
271,2,410,488,220,220,40,328.51788,398,1
272,2,261,261,400,220,40,144.92067,450,1
273,2,374,233,310,400,40,178.8435,449,1
274,2,300,387,400,310,40,126.210144,368,1
275,2,395,314,220,400,40,194.98975,415,1
276,2,231,401,310,310,40,120.50726,367,1
277,2,311,320,400,220,40,133.86934,353,1
278,2,384,234,490,490,40,277.0776,669,1
279,2,468,482,310,400,40,178.01123,397,1
280,2,323,396,310,310,40,86.977005,335,1
281,2,308,322,400,490,40,191.54112,432,1
282,2,414,468,310,310,40,189.15602,384,1
283,2,330,350,400,400,40,86.023254,364,1
284,2,412,416,490,490,40,107.51744,335,1
285,2,505,494,400,400,40,140.92906,598,1
286,2,411,416,220,400,40,191.66899,400,1
287,2,215,418,220,400,40,18.681541,400,1
288,2,243,410,220,400,40,25.079872,302,1
289,2,240,409,310,490,40,107.05606,449,1
290,2,305,488,400,310,40,201.76471,419,1
291,2,391,321,310,490,40,187.40865,432,1
292,2,306,477,310,490,40,13.601471,468,0
292,2,390,407,310,490,40,115.27792,382,1
293,2,329,478,400,400,40,105.47511,379,1
294,2,386,413,220,310,40,195.35864,419,1
295,2,252,331,310,310,40,61.68468,348,1
296,2,318,327,490,220,40,202.56604,452,1
297,2,469,243,220,400,40,294.3637,481,1
298,2,252,380,490,490,40,262.19077,584,1
299,2,515,491,310,310,40,273.47028,399,0
299,2,326,361,310,310,40,53.450912,786,1
300,2,329,310,310,490,40,181.0,696,1
301,2,306,512,310,490,40,22.36068,435,1
302,2,304,509,220,490,40,86.12201,349,1
303,2,216,504,490,400,40,293.07336,566,1
304,2,447,418,310,220,40,240.77583,600,1
305,2,316,258,310,490,40,232.07758,684,1
306,2,319,484,490,490,40,171.10522,638,1
307,2,496,473,400,400,40,120.60265,399,1
308,2,393,399,310,310,40,121.69634,431,1
309,2,309,328,400,490,40,185.80904,465,1
310,2,406,492,400,490,40,6.3245554,252,1
311,2,406,488,490,310,40,196.8248,598,1
312,2,486,334,310,400,40,187.96808,600,1
313,2,342,375,490,220,40,214.31052,470,1
314,2,509,197,490,310,40,114.58621,466,1
315,2,464,320,490,310,40,27.856777,316,1
316,2,466,314,310,490,40,235.18503,634,1
317,2,323,461,490,220,40,293.20642,1048,1
318,2,514,218,310,490,40,340.0,969,1
319,2,308,487,400,310,40,199.48183,949,1
